,nanoTime,TradeCount,TotalTradeVolume,TotalTradeValue,PreClose,Open,High,Low,Last,TotalBidVolume,TotalOfferVolume,bp1,ap1,bv1,av1,bp2,ap2,bv2,av2,bp3,ap3,bv3,av3,bp4,ap4,bv4,av4,bp5,ap5,bv5,av5,bp6,ap6,bv6,av6,bp7,ap7,bv7,av7,bp8,ap8,bv8,av8,bp9,ap9,bv9,av9,bpA,apA,bvA,avA,recieveMdNum,TimeStamp
0,0.0,1027.0,1401911.0,120424056.0,85.63804167,86.07895833,86.0,85.64,85.9,0.0,0.0,85.89,85.9,4000.0,200.0,85.88,85.91,50200.0,2900.0,85.87,85.92,25200.0,2500.0,85.86,85.93,1300.0,7800.0,85.85,85.94,2700.0,2800.0,85.84,85.95,100.0,66100.0,85.83,85.96,100.0,1200.0,85.82,85.97,19400.0,14400.0,85.81,85.98,7900.0,39800.0,85.8,85.99,82600.0,27800.0,0,93000000
1,0.0,1492.0,2044500.0,175647712.0,85.63804167,86.07895833,86.0,85.64,85.91,0.0,0.0,85.91,85.99,500.0,12500.0,85.9,86.0,345300.0,52262.0,85.89,86.01,22800.0,1900.0,85.88,86.02,52300.0,7400.0,85.87,86.03,27700.0,1000.0,85.86,86.04,4300.0,800.0,85.85,86.05,3600.0,3400.0,85.84,86.06,100.0,500.0,85.83,86.07,100.0,400.0,85.82,86.08,19500.0,16000.0,0,93003000
2,0.0,1998.0,2476118.0,212731712.0,85.63804167,86.07895833,86.0,85.64,85.9,0.0,0.0,85.9,85.95,258682.0,1300.0,85.89,85.97,40200.0,100.0,85.88,85.98,50900.0,100.0,85.87,85.99,10300.0,400.0,85.86,86.0,5300.0,73862.0,85.85,86.01,6300.0,1900.0,85.84,86.02,100.0,6100.0,85.83,86.03,400.0,1500.0,85.82,86.04,22100.0,800.0,85.81,86.05,15300.0,3500.0,0,93006000
3,0.0,2213.0,2632118.0,226141920.0,85.63804167,86.07895833,86.0,85.64,85.95,0.0,0.0,85.95,86.0,11500.0,26762.0,85.94,86.01,2000.0,2400.0,85.93,86.02,200.0,6000.0,85.92,86.03,21300.0,6500.0,85.91,86.04,11000.0,1100.0,85.9,86.05,414182.0,3500.0,85.89,86.06,42500.0,500.0,85.88,86.07,51100.0,600.0,85.87,86.08,10300.0,29800.0,85.86,86.09,5300.0,15900.0,0,93009000
4,0.0,2411.0,2773918.0,238325568.0,85.63804167,86.07895833,86.0,85.64,85.95,0.0,0.0,85.95,85.98,47700.0,900.0,85.94,86.0,1800.0,17162.0,85.93,86.01,3400.0,2400.0,85.92,86.02,100.0,6000.0,85.91,86.03,6600.0,6800.0,85.9,86.04,336382.0,1100.0,85.89,86.05,42600.0,3500.0,85.88,86.06,50100.0,500.0,85.87,86.07,8300.0,600.0,85.86,86.08,5300.0,30000.0,0,93012000
5,0.0,2469.0,2850018.0,244867648.0,85.63804167,86.07895833,86.0,85.64,85.98,0.0,0.0,85.98,85.99,2100.0,400.0,85.97,86.0,400.0,85562.0,85.96,86.01,300.0,2600.0,85.95,86.02,34900.0,6000.0,85.94,86.03,1800.0,6800.0,85.93,86.04,20100.0,1100.0,85.92,86.05,100.0,3500.0,85.91,86.06,7500.0,500.0,85.9,86.07,398682.0,600.0,85.89,86.08,53900.0,30300.0,0,93015000
6,0.0,2548.0,2946918.0,253199536.0,85.63804167,86.07895833,86.0,85.64,85.98,0.0,0.0,85.95,85.98,10500.0,400.0,85.94,85.99,1800.0,4000.0,85.93,86.0,163500.0,27662.0,85.92,86.01,2900.0,2600.0,85.91,86.02,9400.0,6100.0,85.9,86.03,415682.0,6800.0,85.89,86.04,54100.0,1100.0,85.88,86.05,49000.0,3500.0,85.87,86.06,8000.0,700.0,85.86,86.07,5300.0,600.0,0,93018000
7,0.0,2663.0,3015318.0,259080112.0,85.63804167,86.07895833,86.0,85.64,85.95,0.0,0.0,85.95,86.0,5900.0,52.0,85.93,86.01,161100.0,2900.0,85.92,86.02,2400.0,6100.0,85.91,86.03,14800.0,6800.0,85.9,86.04,378882.0,1100.0,85.89,86.05,58300.0,3500.0,85.88,86.06,49000.0,700.0,85.87,86.07,8000.0,600.0,85.86,86.08,5300.0,40900.0,85.85,86.09,17300.0,15900.0,0,93021000
8,0.0,2722.0,3038718.0,261092128.0,85.63804167,86.07895833,86.0,85.64,85.98,0.0,0.0,85.95,85.98,4600.0,100.0,85.94,85.99,200.0,7952.0,85.93,86.0,161100.0,300.0,85.92,86.01,2400.0,2900.0,85.91,86.02,18300.0,6100.0,85.9,86.03,388682.0,6800.0,85.89,86.04,59500.0,1100.0,85.88,86.05,48300.0,3800.0,85.87,86.06,8000.0,700.0,85.86,86.07,5300.0,600.0,0,93024000
9,0.0,2770.0,3076918.0,264376272.0,85.63804167,86.07895833,86.0,85.64,85.99,0.0,0.0,85.98,85.99,200.0,6852.0,85.95,86.0,38800.0,1200.0,85.93,86.01,161100.0,2900.0,85.92,86.02,2400.0,8100.0,85.91,86.03,19300.0,6800.0,85.9,86.04,392482.0,1100.0,85.89,86.05,59500.0,3800.0,85.88,86.06,48300.0,700.0,85.87,86.07,8000.0,600.0,85.86,86.08,5300.0,41400.0,0,93027000
10,0.0,2857.0,3117370.0,267855216.0,85.63804167,86.07895833,86.0,85.64,86.0,0.0,0.0,86.0,86.03,22748.0,6600.0,85.98,86.04,14100.0,1100.0,85.95,86.05,37300.0,4000.0,85.93,86.06,161100.0,700.0,85.92,86.07,2400.0,600.0,85.91,86.08,19300.0,41400.0,85.9,86.09,392782.0,15900.0,85.89,86.1,59400.0,30340.0,85.88,86.11,48300.0,2700.0,85.87,86.12,8000.0,3300.0,0,93030000
11,0.0,2926.0,3215670.0,276306976.0,85.63804167,86.07895833,86.0,85.64,86.0,0.0,0.0,85.99,86.0,400.0,4600.0,85.98,86.01,500.0,100.0,85.95,86.03,37948.0,12400.0,85.93,86.04,161100.0,1100.0,85.92,86.05,2400.0,2500.0,85.91,86.06,19300.0,700.0,85.9,86.07,363182.0,600.0,85.89,86.08,59400.0,41400.0,85.88,86.09,48300.0,15900.0,85.87,86.1,8000.0,30640.0,0,93033000
12,0.0,3000.0,3258770.0,280012736.0,85.63804167,86.07895833,86.0,85.64,86.0,0.0,0.0,85.98,86.0,500.0,200.0,85.95,86.01,34848.0,4900.0,85.93,86.02,162100.0,1200.0,85.92,86.03,2400.0,12100.0,85.91,86.04,19300.0,1300.0,85.9,86.05,362582.0,2500.0,85.89,86.06,59400.0,1200.0,85.88,86.07,48000.0,600.0,85.87,86.08,8000.0,41400.0,85.86,86.09,5300.0,15900.0,0,93036000
13,0.0,3097.0,3364670.0,289122400.0,85.63804167,86.07895833,86.0,85.64,85.99,0.0,0.0,85.99,86.0,800.0,9800.0,85.95,86.01,28448.0,23600.0,85.94,86.02,500.0,6200.0,85.93,86.06,162200.0,1200.0,85.92,86.07,2400.0,600.0,85.91,86.08,19300.0,41400.0,85.9,86.09,361882.0,16300.0,85.89,86.1,59500.0,29940.0,85.88,86.11,48000.0,2700.0,85.87,86.12,9800.0,3300.0,0,93039000
