,nanoTime,TradeCount,TotalTradeVolume,TotalTradeValue,PreClose,Open,High,Low,Last,TotalBidVolume,TotalOfferVolume,bp1,ap1,bv1,av1,bp2,ap2,bv2,av2,bp3,ap3,bv3,av3,bp4,ap4,bv4,av4,bp5,ap5,bv5,av5,bp6,ap6,bv6,av6,bp7,ap7,bv7,av7,bp8,ap8,bv8,av8,bp9,ap9,bv9,av9,bpA,apA,bvA,avA,recieveMdNum,TimeStamp
0,0.0,162.0,173500.0,4606425.0,26.92126486,26.54139459,26.88,26.49,26.55,0.0,0.0,26.53,26.55,200.0,800.0,26.52,26.57,10000.0,900.0,26.51,26.58,3600.0,15400.0,26.5,26.6,11300.0,56000.0,26.49,26.61,18100.0,400.0,26.48,26.62,400.0,10000.0,26.45,26.64,1000.0,400.0,26.43,26.65,700.0,6100.0,26.42,26.66,300.0,7100.0,26.41,26.67,2200.0,7000.0,0,93000000
1,0.0,366.0,404200.0,10721849.0,26.92126486,26.54139459,26.88,26.49,26.5,0.0,0.0,26.43,26.5,5000.0,92640.0,26.42,26.51,4200.0,100.0,26.41,26.52,3800.0,2200.0,26.4,26.53,33800.0,4100.0,26.38,26.54,1100.0,3600.0,26.36,26.55,2400.0,34400.0,26.35,26.57,2600.0,3500.0,26.32,26.58,5000.0,2600.0,26.31,26.59,6900.0,3800.0,26.3,26.6,7700.0,54200.0,0,93003000
2,0.0,524.0,535640.0,14204971.0,26.92126486,26.54139459,26.88,26.49,26.52,0.0,0.0,26.51,26.52,16460.0,3500.0,26.5,26.53,10900.0,2600.0,26.48,26.54,500.0,12600.0,26.45,26.55,500.0,64400.0,26.43,26.56,5900.0,4300.0,26.42,26.57,4200.0,4700.0,26.41,26.58,3800.0,2100.0,26.4,26.59,36500.0,3800.0,26.39,26.6,1700.0,46700.0,26.38,26.62,15900.0,300.0,0,93006000
3,0.0,577.0,568540.0,15077182.0,26.92126486,26.54139459,26.88,26.49,26.53,0.0,0.0,26.5,26.53,6060.0,1200.0,26.48,26.54,500.0,12600.0,26.45,26.55,500.0,64900.0,26.43,26.56,5900.0,4400.0,26.42,26.57,4200.0,13200.0,26.41,26.58,3800.0,2100.0,26.4,26.59,36500.0,3800.0,26.39,26.6,1700.0,46700.0,26.38,26.62,15900.0,300.0,26.36,26.64,2900.0,400.0,0,93009000
4,0.0,659.0,666140.0,17668304.0,26.92126486,26.54139459,26.88,26.49,26.55,0.0,0.0,26.55,26.56,87400.0,3400.0,26.54,26.57,6000.0,13200.0,26.53,26.58,11800.0,2100.0,26.5,26.59,6660.0,3800.0,26.48,26.6,500.0,46700.0,26.45,26.62,500.0,300.0,26.43,26.64,3000.0,400.0,26.42,26.65,4200.0,4300.0,26.41,26.66,3800.0,6000.0,26.4,26.67,36500.0,2300.0,0,93012000
5,0.0,691.0,775640.0,20575540.0,26.92126486,26.54139459,26.88,26.49,26.53,0.0,0.0,26.53,26.55,3500.0,17600.0,26.51,26.56,400.0,100.0,26.5,26.57,6760.0,6300.0,26.48,26.58,500.0,2100.0,26.45,26.59,500.0,3800.0,26.43,26.6,3000.0,46800.0,26.42,26.62,4800.0,300.0,26.41,26.64,4300.0,400.0,26.4,26.65,36500.0,4300.0,26.39,26.66,1700.0,6000.0,0,93015000
6,0.0,710.0,792500.0,21022674.0,26.92126486,26.54139459,26.88,26.49,26.5,0.0,0.0,26.48,26.5,500.0,440.0,26.47,26.53,1800.0,2600.0,26.45,26.54,500.0,700.0,26.43,26.55,2900.0,14100.0,26.42,26.56,4800.0,200.0,26.41,26.57,4300.0,5900.0,26.4,26.58,36500.0,2100.0,26.39,26.59,1700.0,3800.0,26.38,26.6,15900.0,46800.0,26.36,26.62,2900.0,300.0,0,93018000
7,0.0,750.0,822800.0,21826612.0,26.92126486,26.54139459,26.88,26.49,26.5,0.0,0.0,26.48,26.5,900.0,100.0,26.47,26.57,1800.0,3740.0,26.45,26.58,500.0,2100.0,26.43,26.59,2900.0,3800.0,26.42,26.6,4800.0,46800.0,26.41,26.62,6300.0,300.0,26.4,26.64,36500.0,400.0,26.39,26.65,1700.0,4300.0,26.38,26.66,15900.0,4000.0,26.36,26.67,2900.0,2300.0,0,93021000
8,0.0,768.0,829600.0,22007092.0,26.92126486,26.54139459,26.88,26.49,26.5,0.0,0.0,26.48,26.5,1900.0,1700.0,26.47,26.51,2400.0,11400.0,26.45,26.54,500.0,700.0,26.43,26.55,2900.0,700.0,26.42,26.57,4800.0,3740.0,26.41,26.58,6600.0,2100.0,26.4,26.59,36500.0,3800.0,26.39,26.6,1700.0,46800.0,26.38,26.62,15900.0,300.0,26.36,26.64,2900.0,400.0,0,93024000
9,0.0,780.0,839200.0,22261536.0,26.92126486,26.54139459,26.88,26.49,26.51,0.0,0.0,26.5,26.51,1400.0,17400.0,26.48,26.54,2400.0,3900.0,26.47,26.55,2400.0,4700.0,26.45,26.57,1500.0,3740.0,26.43,26.58,1600.0,2100.0,26.42,26.59,4800.0,3800.0,26.41,26.6,6600.0,46800.0,26.4,26.62,36500.0,300.0,26.39,26.64,1700.0,400.0,26.38,26.65,15900.0,4400.0,0,93027000
